symbol,name,price,change_pct,volume,amount_wan,main_force_est,score
sh601016,节能风电,4.55,32.57,11069168,5566855.0,8350282500.0,76.9848336
sh601288,农业银行,6.76,8.2,4153763,2523591.0,3785386500.0,68.2907526
sh600667,太极实业,11.59,41.37,3766113,1993631.0,2990446500.0,78.1642226
sz000100,TCL科技,4.57,30.81,4007183,1580949.0,2371423500.0,75.0444366
sh600108,亚盛集团,5.76,118.17,3163669,1493374.0,2240061000.0,80.6327338
sh601668,中国建筑,5.11,4.73,2698233,1434258.0,2151387000.0,66.9586466
sz000591,太阳能,6.12,22.66,2361508,1383281.0,2074921500.0,72.2703016
sz300058,蓝色光标,15.18,-249.83,2715039,1377187.0,2065780500.0,50.5430078
sh600028,中国石化,6.25,20.96,3162492,1200529.0,1800793500.0,71.9204984
sz000630,铜陵有色,6.59,47.79,2666086,1172718.0,1759077000.0,79.87021719999998
sh601218,吉鑫科技,7.16,64.13,2283347,1172382.0,1758573000.0,80.4566694
sz002285,世联行,3.41,-31.12,2108776,974417.0,1461625500.0,56.0857552
sh601328,交通银行,6.94,6.46,1431635,858016.0,1287024000.0,67.224327
sz002602,世纪华通,17.07,33.4,1430063,776728.0,1165092000.0,75.3060126
sz000592,平潭发展,10.65,-190.22,1833500,703584.0,1055376000.0,50.3667
