缠论 + 蜡烛图 选股报告 (20260327)
================================================================================

排名     代码         形态           强度       量比       涨幅%       
--------------------------------------------------------------------------------
1      301132     看涨吞没         1.00     1.19     5.01      
2      603639     看涨吞没         1.00     1.02     2.46      
3      688802     看涨吞没         1.00     1.29     4.25      
4      002074     看涨吞没         1.00     2.01     3.94      
5      301313     看涨吞没         1.00     2.03     7.28      
6      603977     大阳线          1.00     1.12     1.28      
7      301237     大阳线          1.00     1.04     3.83      
8      002942     大阳线          1.00     1.12     5.07      
9      300899     大阳线          1.00     1.90     8.42      
10     920190     看涨吞没         1.00     1.26     1.55      
11     603777     看涨吞没         1.00     2.37     5.36      
12     300882     大阳线          1.00     2.52     8.03      
13     300119     大阳线          1.00     1.83     5.71      
14     003009     大阳线          1.00     1.93     5.81      
15     603137     锤头线          1.00     1.60     -0.70     
16     600586     看涨吞没         1.00     1.39     2.76      
17     002451     大阳线          1.00     1.30     2.99      
18     601216     看涨吞没         1.00     1.99     1.85      
19     603083     大阳线          1.00     2.70     10.00     
20     920274     大阳线          1.00     1.16     3.75      
