date,open,close,high,low,volume,turnover
2024-04-01,22.230,23.200,23.480,22.010,657418.000,
2024-04-02,23.240,24.450,24.990,22.740,893172.000,
2024-04-03,24.000,23.890,25.810,23.850,902367.000,
2024-04-08,23.590,23.010,24.740,22.960,608792.000,
2024-04-09,22.800,25.310,25.310,22.800,793037.000,
2024-04-10,25.260,24.940,25.720,24.710,740521.000,
2024-04-11,24.590,25.550,25.580,24.000,688902.000,
2024-04-12,25.000,24.160,25.470,24.020,547861.000,
2024-04-15,24.000,24.250,24.860,23.490,482488.000,
2024-04-16,23.850,22.420,23.860,22.300,494863.000,
2024-04-17,22.720,22.990,23.430,22.400,457271.000,
2024-04-18,22.650,22.480,23.140,21.830,432429.000,
2024-04-19,22.020,21.330,22.340,21.200,482173.000,
2024-04-22,21.130,20.430,21.590,20.360,357169.000,
2024-04-23,20.530,20.780,21.230,20.520,293140.000,
2024-04-24,20.500,20.180,20.580,19.910,382044.000,
2024-04-25,20.000,20.260,20.660,19.770,300426.000,
2024-04-26,19.980,20.860,20.970,19.980,375385.000,
2024-04-29,20.830,21.720,22.330,20.680,533352.000,"{'nd': '2023', 'fh_sh': '3', 'djr': '2024-04-26', 'cqr': '2024-04-29', 'FHcontent': '10派3元'}"
2024-04-30,21.800,21.000,21.840,20.920,338535.000,
2024-05-06,22.120,22.190,22.780,21.930,465058.000,
2024-05-07,22.140,22.190,22.380,21.850,270122.000,
2024-05-08,22.200,21.510,22.200,21.490,234207.000,
2024-05-09,22.230,22.660,23.280,22.230,611298.000,
2024-05-10,22.500,22.000,22.700,21.900,379562.000,
2024-05-13,21.570,21.170,21.750,21.000,329615.000,
2024-05-14,21.310,21.070,21.480,21.010,199938.000,
2024-05-15,21.300,21.100,21.690,21.030,187045.000,
2024-05-16,21.150,20.790,21.230,20.680,252374.000,
2024-05-17,20.710,20.940,20.940,20.430,267558.000,
2024-05-20,20.950,21.040,21.150,20.750,220489.000,
2024-05-21,20.940,20.570,21.150,20.460,210877.000,
2024-05-22,20.430,20.880,20.910,20.360,255519.000,
2024-05-23,20.770,20.140,20.770,20.100,253524.000,
2024-05-24,20.030,19.730,20.230,19.690,203810.000,
2024-05-27,19.750,19.660,19.840,19.090,249605.000,
2024-05-28,19.670,19.670,19.900,19.310,172890.000,
2024-05-29,20.000,20.170,20.770,19.900,326648.000,
2024-05-30,20.170,19.870,20.260,19.810,154882.000,
2024-05-31,19.890,19.550,20.030,19.550,160398.000,
2024-06-03,19.510,19.400,19.540,19.150,167618.000,
2024-06-04,19.380,19.660,19.710,19.160,156544.000,
2024-06-05,19.720,20.080,20.590,19.670,353588.000,
2024-06-06,20.080,19.440,20.310,19.400,218837.000,
2024-06-07,19.570,18.800,19.630,18.610,266528.000,
2024-06-11,18.740,18.990,18.990,18.370,176614.000,
2024-06-12,18.920,19.040,19.260,18.800,134624.000,
2024-06-13,18.950,18.760,19.210,18.700,152928.000,
2024-06-14,18.710,19.070,19.100,18.420,226402.000,
2024-06-17,19.200,20.530,20.980,19.020,916990.000,
2024-06-18,20.370,20.040,20.370,19.800,478314.000,
2024-06-19,19.960,19.560,19.990,19.480,259694.000,
2024-06-20,19.460,18.840,19.530,18.820,245374.000,
2024-06-21,18.840,18.460,18.980,18.360,220986.000,
2024-06-24,18.100,18.240,18.540,17.610,231455.000,
2024-06-25,18.220,17.760,18.350,17.700,181570.000,
2024-06-26,17.800,18.370,18.490,17.500,208566.000,
2024-06-27,18.160,17.720,18.210,17.720,155285.000,
2024-06-28,17.630,17.560,18.080,17.530,177779.000,
2024-07-01,17.410,17.290,17.410,16.900,214163.000,
2024-07-02,17.190,17.180,17.560,17.040,126202.000,
