trade_date,open,close,high,low,volume,turnover,ts_code,pre_close,change,pct_chg,vol,amount
2022-02-21,94.39,94.13,95.48,92.88,110605.0,,,,,,,
2022-02-22,93.59,94.98,95.85,92.31,141100.0,,,,,,,
2022-02-23,94.75,99.66,101.17,94.53,217025.0,,,,,,,
2022-02-24,99.0,100.58,103.45,98.3,254186.0,,,,,,,
2022-02-25,102.22,101.61,103.52,100.74,150322.0,,,,,,,
2022-02-28,101.98,106.19,106.8,101.01,213029.0,,,,,,,
2022-03-01,107.5,105.29,108.24,103.47,195713.0,,,,,,,
2022-03-02,104.25,99.64,104.87,98.48,211738.0,,,,,,,
2022-03-03,99.5,99.68,100.61,97.58,138589.0,,,,,,,
2022-03-04,96.18,94.5,98.82,94.0,183735.0,,,,,,,
2022-03-07,94.1,89.4,94.1,88.9,160917.0,,,,,,,
2022-03-08,89.46,89.1,91.83,86.27,166742.0,,,,,,,
2022-03-09,89.6,87.55,90.18,83.01,157720.0,,,,,,,
2022-03-10,95.48,96.31,96.31,92.81,138620.0,,,,,,,
2022-03-11,95.8,98.91,99.5,94.51,290796.0,,,,,,,
2022-03-14,96.6,95.76,98.0,95.69,138981.0,,,,,,,
2022-03-15,95.71,96.1,101.36,94.0,196263.0,,,,,,,
2022-03-16,99.47,101.12,102.0,96.77,241016.0,,,,,,,
2022-03-17,105.0,104.85,108.46,103.0,261227.0,,,,,,,
2022-03-18,103.9,102.88,105.95,101.32,117765.0,,,,,,,
2022-03-21,103.5,104.76,107.08,102.0,124158.0,,,,,,,
2022-03-22,107.09,103.48,107.09,102.06,145324.0,,,,,,,
2022-03-23,104.35,101.52,104.7,100.4,133574.0,,,,,,,
2022-03-24,101.5,101.0,102.0,97.85,119414.0,,,,,,,
2022-03-25,101.2,96.78,101.66,96.4,119413.0,,,,,,,
2022-03-28,94.8,93.69,97.53,92.56,119239.0,,,,,,,
2022-03-29,95.49,96.0,98.36,94.1,130275.0,,,,,,,
2022-03-30,96.55,99.17,99.95,95.02,133876.0,,,,,,,
2022-03-31,98.37,94.0,98.45,93.81,132879.0,,,,,,,
2022-04-01,93.11,96.02,98.38,92.96,131159.0,,,,,,,
2022-04-06,98.0,92.09,98.0,90.89,139267.0,,,,,,,
2022-04-07,91.51,91.56,93.32,90.18,94882.0,,,,,,,
2022-04-08,91.3,89.95,92.99,89.78,101572.0,,,,,,,
2022-04-11,88.73,85.45,88.73,85.01,131061.0,,,,,,,
2022-04-12,85.0,86.2,86.81,84.0,122595.0,,,,,,,
2022-04-13,86.19,84.28,87.79,84.18,145145.0,,,,,,,
2022-04-14,85.6,84.31,87.0,83.85,138829.0,,,,,,,
2022-04-15,85.19,81.55,85.4,80.16,238594.0,,,,,,,
2022-04-18,81.0,82.45,83.41,78.23,170346.0,,,,,,,
2022-04-19,82.99,83.2,84.8,82.47,135332.0,,,,,,,
2022-04-20,83.83,79.0,83.9,78.9,143957.0,,,,,,,
2022-04-21,78.44,76.66,79.9,76.4,130405.0,,,,,,,
