date,open,close,high,low,volume,turnover
2022-02-21,94.390,94.130,95.480,92.880,110605.000,
2022-02-22,93.590,94.980,95.850,92.310,141100.000,
2022-02-23,94.750,99.660,101.170,94.530,217025.000,
2022-02-24,99.000,100.580,103.450,98.300,254186.000,
2022-02-25,102.220,101.610,103.520,100.740,150322.000,
2022-02-28,101.980,106.190,106.800,101.010,213029.000,
2022-03-01,107.500,105.290,108.240,103.470,195713.000,
2022-03-02,104.250,99.640,104.870,98.480,211738.000,
2022-03-03,99.500,99.680,100.610,97.580,138589.000,
2022-03-04,96.180,94.500,98.820,94.000,183735.000,
2022-03-07,94.100,89.400,94.100,88.900,160917.000,
2022-03-08,89.460,89.100,91.830,86.270,166742.000,
2022-03-09,89.600,87.550,90.180,83.010,157720.000,
2022-03-10,95.480,96.310,96.310,92.810,138620.000,
2022-03-11,95.800,98.910,99.500,94.510,290796.000,
2022-03-14,96.600,95.760,98.000,95.690,138981.000,
2022-03-15,95.710,96.100,101.360,94.000,196263.000,
2022-03-16,99.470,101.120,102.000,96.770,241016.000,
2022-03-17,105.000,104.850,108.460,103.000,261227.000,
2022-03-18,103.900,102.880,105.950,101.320,117765.000,
2022-03-21,103.500,104.760,107.080,102.000,124158.000,
2022-03-22,107.090,103.480,107.090,102.060,145324.000,
2022-03-23,104.350,101.520,104.700,100.400,133574.000,
2022-03-24,101.500,101.000,102.000,97.850,119414.000,
2022-03-25,101.200,96.780,101.660,96.400,119413.000,
2022-03-28,94.800,93.690,97.530,92.560,119239.000,
2022-03-29,95.490,96.000,98.360,94.100,130275.000,
2022-03-30,96.550,99.170,99.950,95.020,133876.000,
2022-03-31,98.370,94.000,98.450,93.810,132879.000,
2022-04-01,93.110,96.020,98.380,92.960,131159.000,
2022-04-06,98.000,92.090,98.000,90.890,139267.000,
2022-04-07,91.510,91.560,93.320,90.180,94882.000,
2022-04-08,91.300,89.950,92.990,89.780,101572.000,
2022-04-11,88.730,85.450,88.730,85.010,131061.000,
2022-04-12,85.000,86.200,86.810,84.000,122595.000,
2022-04-13,86.190,84.280,87.790,84.180,145145.000,
2022-04-14,85.600,84.310,87.000,83.850,138829.000,
2022-04-15,85.190,81.550,85.400,80.160,238594.000,
2022-04-18,81.000,82.450,83.410,78.230,170346.000,
2022-04-19,82.990,83.200,84.800,82.470,135332.000,
2022-04-20,83.830,79.000,83.900,78.900,143957.000,
2022-04-21,78.440,76.660,79.900,76.400,130405.000,
2022-04-22,75.210,73.990,76.650,73.960,123001.000,
2022-04-25,71.760,68.960,73.310,68.900,164870.000,
2022-04-26,69.350,67.000,69.800,66.640,135739.000,
2022-04-27,66.310,72.190,72.850,65.380,249544.000,
